date,pancakeswap,curve,makerdao,uniswap,Compound,AAVE,sushiswap,anchor
2021-10-01,4813141803.099634,14346088122.925909,11765466990.615938,6936022421.544294,9168765215.329235,12729421346.194874,4697819706.751966,3360911938.874801
2021-10-02,4820447920.470042,14489019639.4631,12570604770.14006,7395559375.5385065,9789922742.692446,13703092243.249302,4796241886.864159,3439489776.7176895
2021-10-03,4806715359.356661,14657832062.728325,12872983158.088663,7520674601.581604,10029570705.841051,14165498916.569872,4874370594.173225,3637815709.188654
2021-10-04,4802709764.732875,14797090146.718807,12942124030.143272,7544028546.645675,9751950349.730057,14317962876.521605,4863523234.141179,3902419805.337356
2021-10-05,4921899976.607,15409551026.005604,12890288232.76153,7478939510.589345,9624919339.164927,14781055991.120552,5067231667.65525,3844197361.651906
2021-10-06,4875571819.808391,15449160412.009447,13273531506.539055,7692031702.1639595,9910452162.666637,15618262223.073118,5004305077.08382,3803158751.785027
2021-10-07,4865116611.401606,15654371585.785124,13515278073.947014,7798159919.441403,10087505391.131632,15910332206.999626,5084674363.866808,3641418636.0457993
2021-10-08,5217275875.591911,15770564279.987293,13533783010.283554,7875423128.041055,9948755631.236616,15053168340.287767,5110889481.294035,3985023692.6484036
2021-10-09,5340467068.637823,15909366272.527618,13527950295.479189,7802461917.6401825,9704115288.778269,14919306589.839855,5142455048.054562,3802380196.3012543
2021-10-10,5183493885.207692,15971548164.43585,13634056990.867918,7805112390.691191,9762763468.799006,14917646600.07766,5129918222.261258,3682959012.9003415
2021-10-11,5290040897.905133,15763588195.417702,13296824988.191566,7567475956.253065,9685773432.285234,14670871218.16624,5026918040.818842,3621021674.243187
2021-10-12,5498376943.931531,15921362174.378588,13595404804.506706,7681503277.06659,9910207230.750175,15020489421.587208,5161385467.740844,3536630925.3036804
2021-10-13,5325615552.240944,16047284494.524088,13634497944.24489,7660389268.967516,9914292473.522913,14848105628.820671,5192038675.101859,3633810275.1874433
2021-10-14,5201696443.529817,16375543078.297026,13925331008.149513,7852194850.181263,10866874477.562006,15320322312.094957,5220150711.9851465,3502287502.9075503
2021-10-15,5243328086.919019,16895087543.989635,14595045317.7353,8061848952.557437,10857026848.44999,15966815463.883356,5457930965.375323,3552389352.9701886
2021-10-16,5156856589.004357,17291199026.91073,15189467639.744581,8190013849.051606,11089139648.503609,16811744094.67058,5676401545.381282,3567166509.8316035
2021-10-17,5219027633.409795,17135237705.950129,15151631711.43842,8267937687.974572,11079642958.02837,16796476414.253521,5711038552.952668,3546336479.258332
2021-10-18,5227596740.570618,17354611083.380768,15228201811.082876,8264955653.2334175,11063129017.819887,16848915774.812126,5720464492.396852,3563988548.960968
2021-10-19,5260367709.169527,17100679406.246593,15020501536.13854,8127405968.705948,10879219238.097427,16557167235.305157,5687969968.655612,3491360504.3870807
2021-10-20,5361791544.693466,17414558946.659492,15339298679.543373,8369039243.934119,11033408474.970882,17104998624.37788,5844660779.921885,3701536023.215293
2021-10-21,5499099259.923996,18098786649.63684,16403191185.404993,8751740587.897804,11528796900.160892,18970929597.647064,6147543861.996787,4064975248.923007
2021-10-22,5661931373.782768,17768956238.141876,16420148214.60135,8590584320.438099,10983710585.989626,18695424542.733017,5854455476.254943,3997023372.68442
2021-10-23,5718021386.743932,17562949065.465683,16040226245.22336,8448699799.367454,10825087825.022636,18250986722.42934,5796306315.162965,4044178531.2759256
2021-10-24,5647734632.010534,17926354261.585796,16602206380.767452,8718191615.69359,11168724865.696787,19104588361.048252,6031051726.033119,4044897869.3193064
2021-10-25,5742467225.546741,17830053509.09546,16332225357.146702,8616182924.763725,10918695499.133034,18938298921.256645,6021662944.747749,3950593048.9833965
2021-10-26,5831989924.662868,18186385212.291973,16746802704.499876,8862338992.917442,11260368662.371979,19442449130.321472,6246803860.483179,4122511412.9693036
